연도,위치,방문자수,longitude,latitude
2021,경상고령군,286275894.0,128.265022222222,35.7229861111111
2022,경상고령군,316311862.0,128.265022222222,35.7229861111111
2023,경상고령군,323711620.0,128.265022222222,35.7229861111111
2021,경상고성군,249246166.0,128.324541666666,34.9699
2022,경상고성군,272036935.0,128.324541666666,34.9699
2023,경상고성군,281901850.0,128.324541666666,34.9699
2021,경상구미시,312460922.0,128.346777777777,36.11655
2022,경상구미시,345724028.0,128.346777777777,36.11655
2023,경상구미시,355031306.0,128.346777777777,36.11655
2021,경상김천시,295918643.0,128.1158,36.1368972222222
2022,경상김천시,327880868.0,128.1158,36.1368972222222
2023,경상김천시,335937631.0,128.1158,36.1368972222222
2021,경상김해시,294711128.0,128.891666666666,35.2255055555555
2022,경상김해시,324670753.0,128.891666666666,35.2255055555555
2023,경상김해시,336895666.0,128.891666666666,35.2255055555555
2021,경상남해군,249219651.0,127.894466666666,34.8345583333333
2022,경상남해군,272863724.0,127.894466666666,34.8345583333333
2023,경상남해군,281806218.0,127.894466666666,34.8345583333333
2021,경상문경시,292273351.0,128.189019444444,36.5836305555555
2022,경상문경시,324044226.0,128.189019444444,36.5836305555555
2023,경상문경시,332271967.0,128.189019444444,36.5836305555555
2021,경상밀양시,258364209.0,128.748944444444,35.5007777777777
2022,경상밀양시,282482382.0,128.748944444444,35.5007777777777
2023,경상밀양시,291937773.0,128.748944444444,35.5007777777777
2021,경상봉화군,283612212.0,128.734875,36.8902611111111
2022,경상봉화군,313895775.0,128.734875,36.8902611111111
2023,경상봉화군,321330051.0,128.734875,36.8902611111111
2021,경상사천시,257259114.0,128.066777777777,35.0002833333333
2022,경상사천시,282561007.0,128.066777777777,35.0002833333333
2023,경상사천시,292119909.0,128.066777777777,35.0002833333333
2021,경상산청군,245710665.0,127.875619444444,35.4124916666666
2022,경상산청군,269547607.0,127.875619444444,35.4124916666666
2023,경상산청군,279270553.0,127.875619444444,35.4124916666666
2021,경상상주시,295277289.0,128.161263888888,36.4079694444444
2022,경상상주시,326988940.0,128.161263888888,36.4079694444444
2023,경상상주시,335474809.0,128.161263888888,36.4079694444444
2021,경상성주군,288835171.0,128.285152777777,35.9162111111111
2022,경상성주군,318910477.0,128.285152777777,35.9162111111111
2023,경상성주군,326639435.0,128.285152777777,35.9162111111111
2021,경상안동시,302699177.0,128.731622222222,36.5654638888888
2022,경상안동시,333989992.0,128.731622222222,36.5654638888888
2023,경상안동시,342156564.0,128.731622222222,36.5654638888888
2021,경상양산시,284238707.0,129.039411111111,35.3319277777777
2022,경상양산시,310095495.0,129.039411111111,35.3319277777777
2023,경상양산시,320924741.0,129.039411111111,35.3319277777777
2021,경상영덕군,292936021.0,129.368355555555,36.4121027777777
2022,경상영덕군,323783078.0,129.368355555555,36.4121027777777
2023,경상영덕군,331702811.0,129.368355555555,36.4121027777777
2021,경상영양군,279363716.0,129.114622222222,36.6642749999999
2022,경상영양군,309160561.0,129.114622222222,36.6642749999999
2023,경상영양군,316551010.0,129.114622222222,36.6642749999999
2021,경상영주시,289714657.0,128.626344444444,36.8029361111111
2022,경상영주시,320990491.0,128.626344444444,36.8029361111111
2023,경상영주시,328487394.0,128.626344444444,36.8029361111111
2021,경상영천시,296393972.0,128.940775,35.9700527777777
2022,경상영천시,327675929.0,128.940775,35.9700527777777
2023,경상영천시,336261401.0,128.940775,35.9700527777777
2021,경상예천군,287042095.0,128.455022222222,36.65495
2022,경상예천군,317386273.0,128.455022222222,36.65495
2023,경상예천군,324910045.0,128.455022222222,36.65495
2021,경상울릉군,278795795.0,130.903788888888,37.480575
2022,경상울릉군,309521314.0,130.903788888888,37.480575
2023,경상울릉군,316602289.0,130.903788888888,37.480575
2021,경상울진군,288911413.0,129.402786111111,36.9901861111111
2022,경상울진군,320694809.0,129.402786111111,36.9901861111111
2023,경상울진군,328801888.0,129.402786111111,36.9901861111111
2021,경상의령군,240741576.0,128.263822222222,35.3191194444444
2022,경상의령군,263187276.0,128.263822222222,35.3191194444444
2023,경상의령군,272972539.0,128.263822222222,35.3191194444444
2021,경상의성군,288152880.0,128.699363888888,36.3497583333333
2022,경상의성군,318253083.0,128.699363888888,36.3497583333333
2023,경상의성군,325659948.0,128.699363888888,36.3497583333333
2021,경상진주시,266557639.0,128.109999999999,35.1770333333333
2022,경상진주시,293669328.0,128.109999999999,35.1770333333333
2023,경상진주시,304032982.0,128.109999999999,35.1770333333333
2021,경상창녕군,249678152.0,128.494533333333,35.5415361111111
2022,경상창녕군,272768102.0,128.494533333333,35.5415361111111
2023,경상창녕군,282587152.0,128.494533333333,35.5415361111111
2021,경상창원시,1352933380.0,128.6401544,35.2540033
2022,경상창원시,1478388957.0,128.6401544,35.2540033
